Iteration[410]: x = [0.153775, -2.263181] y = 9.787346
Iteration[411]: x = [0.153787, -2.263117] y = 9.787316
Iteration[412]: x = [0.153799, -2.263052] y = 9.787286
Iteration[413]: x = [0.153811, -2.262987] y = 9.787255
Iteration[414]: x = [0.153823, -2.262922] y = 9.787225
Iteration[415]: x = [0.153834, -2.262858] y = 9.787195
Iteration[416]: x = [0.153846, -2.262793] y = 9.787164
Iteration[417]: x = [0.153858, -2.262728] y = 9.787134
Iteration[418]: x = [0.153870, -2.262663] y = 9.787103
Iteration[419]: x = [0.153882, -2.262598] y = 9.787073
Iteration[420]: x = [0.153894, -2.262534] y = 9.787043
Iteration[421]: x = [0.153906, -2.262469] y = 9.787012
Iteration[422]: x = [0.153918, -2.262404] y = 9.786982
Iteration[423]: x = [0.153930, -2.262339] y = 9.786951
Iteration[424]: x = [0.153942, -2.262274] y = 9.786921
Iteration[425]: x = [0.153954, -2.262209] y = 9.786890
Iteration[426]: x = [0.153966, -2.262144] y = 9.786860
Iteration[427]: x = [0.153978, -2.262079] y = 9.786829
Iteration[428]: x = [0.153990, -2.262014] y = 9.786798
Iteration[429]: x = [0.154002, -2.261949] y = 9.786768
Iteration[430]: x = [0.154014, -2.261884] y = 9.786737
Iteration[431]: x = [0.154026, -2.261819] y = 9.786707
Iteration[432]: x = [0.154039, -2.261754] y = 9.786676
Iteration[433]: x = [0.154051, -2.261689] y = 9.786645
Iteration[434]: x = [0.154063, -2.261624] y = 9.786615
Iteration[435]: x = [0.154075, -2.261559] y = 9.786584
Iteration[436]: x = [0.154087, -2.261494] y = 9.786553
Iteration[437]: x = [0.154099, -2.261429] y = 9.786523
Iteration[438]: x = [0.154111, -2.261363] y = 9.786492
Iteration[439]: x = [0.154123, -2.261298] y = 9.786461
Iteration[440]: x = [0.154135, -2.261233] y = 9.786431
Iteration[441]: x = [0.154147, -2.261168] y = 9.786400
Iteration[442]: x = [0.154159, -2.261103] y = 9.786369
Iteration[443]: x = [0.154171, -2.261037] y = 9.786338
Iteration[444]: x = [0.154183, -2.260972] y = 9.786307
Iteration[445]: x = [0.154195, -2.260907] y = 9.786277
Iteration[446]: x = [0.154207, -2.260842] y = 9.786246
Iteration[447]: x = [0.154220, -2.260776] y = 9.786215
Iteration[448]: x = [0.154232, -2.260711] y = 9.786184
Iteration[449]: x = [0.154244, -2.260646] y = 9.786153
Iteration[450]: x = [0.154256, -2.260581] y = 9.786122
Iteration[451]: x = [0.154268, -2.260515] y = 9.786091
Iteration[452]: x = [0.154280, -2.260450] y = 9.786060
Iteration[453]: x = [0.154292, -2.260384] y = 9.786030
Iteration[454]: x = [0.154304, -2.260319] y = 9.785999
Iteration[455]: x = [0.154316, -2.260254] y = 9.785968
Iteration[456]: x = [0.154329, -2.260188] y = 9.785937
Iteration[457]: x = [0.154341, -2.260123] y = 9.785906
Iteration[458]: x = [0.154353, -2.260057] y = 9.785875
Iteration[459]: x = [0.154365, -2.259992] y = 9.785844
Iteration[460]: x = [0.154377, -2.259926] y = 9.785813
Iteration[461]: x = [0.154389, -2.259861] y = 9.785781
Iteration[462]: x = [0.154401, -2.259795] y = 9.785750
Iteration[463]: x = [0.154414, -2.259730] y = 9.785719
Iteration[464]: x = [0.154426, -2.259664] y = 9.785688
Iteration[465]: x = [0.154438, -2.259599] y = 9.785657
